OUTLETID,BUSNAME,ADDR1,CITY,STATE,ZIP,COLLECTIONHOURS1,COLLECTIONHOURS2,COLLECTIONHOURS3,COLLECTIONHOURS4,COLLECTIONHOURS5,COLLECTIONHOURS6,COLLECTIONHOURS7,LATITUDE,LONGITUDE
9110700065,USPS COLLECTION BOX - BLUE BOX,3750 FAIRMEADE RD,PASADENA,CA,91107,MO 10:00 AM,TU 10:00 AM,WE 10:00 AM,TH 10:00 AM,FR 10:00 AM,SA 10:00 AM,,34.155261,-118.072188
7440100079,USPS COLLECTION BOX - BLUE BOX,934 W SHAWNEE ST,MUSKOGEE,OK,74401,MO 03:30 PM,TU 03:30 PM,WE 03:30 PM,TH 03:30 PM,FR 03:30 PM,SA 02:00 PM,,35.7703532118,-95.3701247102
7440300035,USPS COLLECTION BOX - BLUE BOX,2250 E SHAWNEE BYP,MUSKOGEE,OK,74403,MO 03:45 PM,TU 03:45 PM,WE 03:45 PM,TH 03:45 PM,FR 03:45 PM,,,35.77142187,-95.34265479
7447000004,USPS COLLECTION BOX - PO LOBBY,116 W COMMERCIAL ST,WEBBERS FALLS,OK,74470,MO 01:45 PM,TU 01:45 PM,WE 01:45 PM,TH 01:45 PM,FR 01:45 PM,SA 09:30 AM,,35.5114333165,-95.1292060205
0185200007,USPS COLLECTION BOX - BLUE BOX,370 JACKSON ST,LOWELL,MA,01852,MO 04:00 PM,TU 04:00 PM,WE 04:00 PM,TH 04:00 PM,FR 04:00 PM,,,42.640683959,-71.31487124
0185200008,USPS COLLECTION BOX - BLUE BOX,370 JACKSON ST,LOWELL,MA,01852,MO 04:00 PM,TU 04:00 PM,WE 04:00 PM,TH 04:00 PM,FR 04:00 PM,,,42.640683959,-71.31487124
2796000004,USPS COLLECTION BOX - PO LOBBY,1122 IRVIN GARRISH HWY,OCRACOKE,NC,27960,MO 12:30 PM,TU 12:30 PM,WE 12:30 PM,TH 12:30 PM,FR 12:30 PM,SA 12:30 PM,,35.1068669861,-75.9724600315
2796000006,USPS COLLECTION BOX - PO LOBBY,1122 IRVIN GARRISH HWY,OCRACOKE,NC,27960,MO 12:45 PM,TU 12:45 PM,WE 12:45 PM,TH 12:45 PM,FR 12:45 PM,SA 12:45 PM,,35.1068669861,-75.9724600315
7704000026,USPS COLLECTION BOX - BLUE BOX,5300 LANGFIELD RD,JERSEY VILLAGE,TX,77040,MO 02:30 PM,TU 02:30 PM,WE 02:30 PM,TH 02:30 PM,FR 02:30 PM,,,29.843085627,-95.501488935
0290500064,USPS COLLECTION BOX - BLUE BOX,101 DUDLEY ST,CRANSTON,RI,02905,MO 05:00 PM,TU 05:00 PM,WE 05:00 PM,TH 05:00 PM,FR 05:00 PM,SA 12:00 PM,,41.811012,-71.4121065
1045200017,USPS COLLECTION BOX - BLUE BOX,950 UNIV AVE,BRONX,NY,10452,MO 10:00 AM,TU 10:00 AM,WE 10:00 AM,TH 10:00 AM,FR 10:00 AM,SA 10:00 AM,,40.83262889,-73.931337994
1045200003,USPS COLLECTION BOX - BLUE BOX,1005 JEROME AVE,BRONX,NY,10452,MO 10:00 AM,TU 10:00 AM,WE 10:00 AM,TH 10:00 AM,FR 10:00 AM,SA 10:00 AM,,40.8315237896,-73.9263724828
1046900039,USPS COLLECTION BOX - BLUE BOX,3499 BOSTON RD,BRONX,NY,10469,MO 11:15 AM,TU 11:15 AM,WE 11:15 AM,TH 11:15 AM,FR 11:15 AM,SA 11:15 AM,,40.8769908152,-73.8465986051
1120100132,USPS COLLECTION BOX - BLUE BOX,84 FRONT ST,BROOKLYN,NY,11201,MO 05:00 PM,TU 05:00 PM,WE 05:00 PM,TH 05:00 PM,FR 05:00 PM,SA 01:00 PM,,40.702497455,-73.989160575
1120100154,USPS COLLECTION BOX - BLUE BOX,74 ADAMS ST,BROOKLYN,NY,11201,MO 03:00 PM,TU 03:00 PM,WE 03:00 PM,TH 03:00 PM,FR 03:00 PM,SA 01:00 PM,,40.701710211,-73.988637385
1046300015,USPS COLLECTION BOX - BLUE BOX,3300 BAILEY AVE,BRONX,NY,10463,MO 10:00 AM,TU 10:00 AM,WE 10:00 AM,TH 10:00 AM,FR 10:00 AM,SA 10:00 AM,,40.8795292884,-73.9011752088
